County,State,Popul,PopDen,PopChg%,Hispan%,Under5%,Age65-75%,Black%,Asian%,BirthRate,HSGrad,ColGrad,IncomeHH
Isle of Wight,VA,30659,94.1,3.1,0.9,6.0,7.2,27.1,0.3,10.9,65.4,10.4,39331
James City,VA,50249,336.4,4.5,1.7,5.6,9.5,14.4,1.5,9.2,82.5,32.9,51424
King and Queen,VA,6572,21.0,-0.9,0.9,5.4,8.8,35.7,0.3,11.7,57.6,7.5,32563
King George,VA,17319,93.4,3.1,1.8,7.6,5.3,18.7,1.0,13.0,73.1,20.4,45575
King William,VA,13577,47.8,3.3,0.9,6.9,6.6,22.8,0.4,14.4,68.5,13.0,43037
Lancaster,VA,11553,87.0,-0.1,0.6,4.2,14.0,28.9,0.3,8.6,64.8,18.9,32085
Lee,VA,23431,54.0,-0.7,0.5,5.8,8.2,0.4,0.2,11.7,48.0,6.5,21574
Loudoun,VA,190903,326.2,12.6,5.9,9.7,3.2,6.9,5.3,19.4,86.6,32.7,67455
Louisa,VA,26539,51.6,3.6,0.7,5.9,7.5,21.6,0.2,11.9,59.8,8.7,34609
Lunenburg,VA,13080,30.4,-0.5,1.8,4.9,9.2,38.6,0.2,10.5,52.2,6.6,25500
Madison,VA,12761,39.0,1.9,0.8,5.8,8.2,11.4,0.5,9.6,62.7,15.4,34947
Mathews,VA,9300,107.1,1.0,0.8,4.6,11.0,11.3,0.2,10.1,70.0,15.5,36385
Mecklenburg,VA,32325,51.9,-0.2,1.2,5.4,10.0,39.1,0.3,12.2,58.1,10.0,27752
Middlesex,VA,10013,76.4,0.8,0.6,3.8,13.0,20.1,0.1,6.5,66.6,14.7,32671
Montgomery,VA,83142,215.5,-0.6,1.6,4.8,4.7,3.7,4.0,11.1,73.6,31.6,34498
Nelson,VA,14678,30.6,1.6,2.1,5.3,9.8,14.9,0.2,13.1,57.0,13.4,31817
New Kent,VA,13986,64.1,3.9,1.3,5.6,5.8,16.2,0.5,11.9,72.8,13.4,49908
Northampton,VA,13125,63.3,0.2,3.5,5.5,12.0,43.0,0.2,12.1,57.3,12.4,22912
Northumberland,VA,12417,63.8,1.3,0.9,4.3,15.0,26.6,0.2,7.6,63.9,13.5,30888
Nottoway,VA,15650,49.9,-0.5,1.6,5.6,8.8,40.6,0.4,12.0,53.2,8.8,27544
Orange,VA,26705,75.7,3.2,1.3,6.0,9.9,13.8,0.3,12.2,65.9,16.1,39156
Page,VA,23195,74.5,0.1,1.1,5.5,8.7,2.2,0.2,11.0,55.4,7.9,31157
Patrick,VA,19470,40.2,0.3,1.9,5.7,8.9,6.2,0.2,10.5,54.1,7.0,29726
Pittsylvania,VA,61878,63.6,0.2,1.2,5.7,8.1,23.7,0.2,11.7,56.1,7.4,32384
Powhatan,VA,23425,85.7,4.7,0.8,5.8,5.2,16.9,0.2,11.1,66.3,12.2,49009
Prince Edward,VA,19659,55.9,-0.3,0.9,5.0,6.9,35.8,0.5,11.3,60.5,14.2,27854
Prince George,VA,33723,124.2,2.0,4.9,6.0,4.5,32.5,1.7,12.4,77.9,16.2,44845
Prince William,VA,298707,830.8,6.4,9.7,8.5,3.0,18.8,3.8,17.4,87.8,27.6,59080
Pulaski,VA,35024,109.4,-0.3,1.0,5.5,8.2,5.6,0.3,10.7,59.6,11.5,31806
Rappahannock,VA,7218,26.2,3.4,1.3,5.1,8.1,5.4,0.2,9.0,67.2,18.9,40172
Richmond,VA,8874,46.1,0.7,2.1,4.1,8.6,33.2,0.3,8.9,56.8,11.8,29444
Roanoke,VA,86220,341.7,0.5,1.0,5.3,8.4,3.4,1.6,6.9,79.4,22.6,47838
Rockbridge,VA,20861,34.7,0.3,0.6,5.4,9.3,3.0,0.4,11.0,62.1,12.9,33687
Rockingham,VA,68505,79.6,1.2,3.3,6.3,7.5,1.4,0.3,12.6,64.7,14.6,37759
Russell,VA,30098,63.8,-0.7,0.8,5.4,7.6,3.1,,11.0,50.6,6.7,25956
Scott,VA,23402,43.6,,0.4,5.1,9.6,0.6,0.1,10.3,51.2,5.9,26888
Shenandoah,VA,35851,68.5,2.2,3.4,5.6,9.4,1.2,0.3,11.3,65.2,11.2,34377
Smyth,VA,32888,73.2,-0.6,0.9,5.3,8.9,1.9,0.2,11.3,53.3,7.8,28367
Southampton,VA,17412,29.1,-0.4,0.7,5.1,7.4,42.9,0.2,10.0,58.4,11.4,33943
Spotsylvania,VA,97760,225.4,8.1,2.8,7.6,4.8,12.5,1.4,14.6,76.6,19.0,51218
Stafford,VA,99692,342.4,7.8,3.6,7.8,3.5,12.1,1.6,13.9,80.9,21.6,58005
Surry,VA,6848,24.5,0.3,0.7,5.6,7.7,51.6,0.1,10.6,58.0,11.0,31097
Sussex,VA,12373,25.5,-1.0,0.8,4.6,7.1,62.1,0.1,10.9,54.2,8.6,27489
Tazewell,VA,44175,85.8,-0.9,0.5,5.3,8.6,2.3,0.6,10.5,57.3,9.1,27573
Warren,VA,32349,147.6,2.4,1.6,6.6,6.8,4.8,0.4,13.7,64.6,11.8,39400
Washington,VA,51253,90.8,0.3,0.6,5.1,8.7,1.3,0.3,10.1,60.4,12.2,31387
Westmoreland,VA,16788,73.0,0.4,3.5,5.2,11.0,30.9,0.4,11.6,59.0,10.9,30597
Wise,VA,39925,99.3,-0.5,0.7,5.8,7.6,1.8,0.3,13.1,52.1,8.6,26593
Wythe,VA,27776,59.6,0.6,0.6,5.5,8.7,2.9,0.4,10.7,61.8,10.0,29355
York,VA,58293,531.1,3.5,2.7,6.3,5.6,13.4,3.2,8.6,88.3,28.9,51898
Alexandria,VA,128773,8552.0,0.4,14.7,6.2,4.4,22.5,5.7,20.0,86.9,48.5,51052
Bedford,VA,6282,899.9,-0.3,0.9,5.6,9.7,22.4,0.6,10.3,60.1,15.0,29777
Bristol,VA,17342,1336.0,-0.1,1.0,5.3,10.0,5.6,0.4,9.0,60.9,13.8,27506
Buena Vista,VA,6334,907.0,-0.2,1.0,6.2,8.5,4.8,0.4,11.0,55.5,8.7,31374
Charlottesville,VA,44372,4505.0,-1.5,2.4,4.4,5.1,22.2,4.9,12.9,75.5,34.1,32597
Chesapeake,VA,203796,584.1,2.3,2.0,7.2,5.1,28.5,1.8,13.9,77.1,16.9,45427
Clifton Forge,VA,4181,1430.0,-2.5,0.9,5.3,11.0,14.6,,13.6,69.0,8.9,27604
Colonial Heights,VA,17006,2414.0,0.6,1.6,5.3,9.6,6.3,2.7,10.4,77.8,16.7,40923
Covington,VA,6286,1051.0,-0.3,0.6,6.3,9.9,13.1,0.7,8.6,64.5,7.0,27748
Danville,VA,47780,1126.0,-1.3,1.3,6.0,9.7,44.1,0.6,11.0,57.4,12.4,26481
Emporia,VA,5621,809.3,-0.8,1.5,6.2,8.9,56.2,0.5,11.9,58.1,13.4,24255
Fairfax,VA,21674,3583.0,0.8,13.6,6.0,6.8,5.1,12.0,14.5,87.5,41.3,61099
Falls Church,VA,10612,5189.0,2.3,8.4,5.5,5.1,3.3,6.5,13.3,91.4,52.8,64420
Franklin,VA,8196,1043.0,-1.8,0.6,5.1,8.6,52.3,0.8,10.0,61.9,14.4,27348
Fredericksburg,VA,19952,1753.0,3.5,4.9,5.8,6.3,20.4,1.5,15.1,73.8,26.1,35484
Galax,VA,6650,854.6,-2.7,11.1,6.4,9.8,6.3,0.7,14.7,56.2,11.3,25767
Hampton,VA,145665,2816.0,-0.5,2.8,6.3,5.8,44.7,1.8,14.7,79.7,19.1,36297
Harrisonburg,VA,39932,2248.0,-1.3,8.8,4.7,4.3,5.9,3.1,11.3,76.8,28.7,35283
Hopewell,VA,22241,2235.0,-0.5,2.9,7.5,7.8,33.5,0.8,14.5,67.4,10.0,32781
Lexington,VA,6864,3434.0,,1.6,3.0,7.7,10.4,1.9,6.2,72.8,32.1,29490
Lynchburg,VA,64108,1332.0,-1.8,1.3,5.8,7.5,29.7,1.3,12.5,69.5,21.7,29105
Manassas,VA,35814,3514.0,1.9,15.1,8.6,3.1,12.9,3.4,21.3,84.2,25.8,54608
Manassas Park,VA,10589,5145.0,2.9,15.0,10.0,3.0,11.2,4.1,22.7,70.4,7.9,44835
Martinsville,VA,15311,1402.0,-0.7,2.3,5.6,9.7,42.5,0.5,11.9,62.9,15.8,28344
Newport News,VA,180305,2649.0,0.1,4.2,7.9,5.4,39.1,2.3,17.5,79.3,18.4,34306
Norfolk,VA,233147,4341.0,-0.5,3.8,7.1,5.5,44.1,2.8,16.7,72.7,16.8,28350
Norton,VA,3886,488.0,-0.5,0.9,5.1,8.1,6.1,1.0,6.9,54.3,11.6,23171
Petersburg,VA,33457,1467.0,-0.8,1.4,6.4,8.0,79.0,0.7,14.9,62.2,13.5,25428
Poquoson,VA,11694,722.9,1.1,1.1,5.1,6.6,0.7,1.6,8.0,84.4,29.4,58371
Portsmouth,VA,99494,3047.0,-1.1,1.7,7.1,6.8,50.6,0.8,16.8,66.6,11.6,29815
Radford,VA,15352,1586.0,-3.2,1.2,3.5,4.9,8.1,1.4,8.1,75.4,29.1,30571
Richmond,VA,195966,3297.0,-0.9,2.6,6.3,6.5,57.2,1.2,17.2,68.1,24.2,29234
Roanoke,VA,93889,2207.0,-1.1,1.5,6.5,7.8,26.7,1.2,17.0,68.0,15.6,27492
Salem,VA,24635,1650.0,-0.5,0.8,4.9,8.8,5.9,1.0,10.6,76.1,17.8,37133
Staunton,VA,23875,1193.0,0.1,1.1,5.2,8.9,14.0,0.5,10.1,71.4,17.8,32833
Suffolk,VA,67107,159.2,5.4,1.3,7.3,6.3,43.5,0.8,14.1,63.9,12.3,34560
Virginia Beach,VA,426931,1715.0,0.4,4.2,7.2,4.9,19.0,4.9,14.9,88.0,25.5,44714
Waynesboro,VA,19918,1301.0,2.0,3.3,6.6,8.9,10.0,0.6,13.1,71.2,18.2,33118
Williamsburg,VA,12102,1333.0,0.9,2.5,2.7,5.9,13.3,4.6,11.2,83.7,42.9,34657
Winchester,VA,24141,2621.0,2.4,6.5,6.1,7.7,10.5,1.6,13.8,68.8,18.8,33538
Adams,WA,16286,8.5,-0.9,47.1,9.4,5.7,0.3,0.6,19.2,66.4,12.3,32250
Asotin,WA,20560,32.4,,2.0,6.8,8.0,0.2,0.5,13.7,77.2,12.4,31753
