County,State,Popul,PopDen,PopChg%,Hispan%,Under5%,Age65-75%,Black%,Asian%,BirthRate,HSGrad,ColGrad,IncomeHH
Moultrie,IL,14307,42.5,0.1,0.5,6.5,8.2,0.2,0.1,12.3,70.3,9.5,37859
Ogle,IL,51729,67.2,1.4,6.0,6.3,6.9,0.4,0.4,11.3,77.6,12.1,42064
Peoria,IL,181676,295.9,-1.0,2.1,6.9,7.0,16.1,1.7,14.1,77.9,19.5,39579
Perry,IL,22972,52.4,-0.5,1.8,5.3,7.8,8.0,0.3,11.2,67.8,7.3,30674
Piatt,IL,16315,37.2,-0.3,0.6,6.2,7.9,0.2,0.1,12.6,83.0,15.9,43109
Pike,IL,17199,20.9,-1.1,0.5,5.8,8.6,1.5,0.2,11.0,69.9,8.1,29308
Pope,IL,4341,11.9,-1.6,0.9,4.8,9.4,3.8,0.3,10.6,65.2,6.3,28308
Pulaski,IL,7167,36.6,-2.5,1.5,6.1,8.6,31.0,0.9,12.8,59.8,6.1,22768
Putnam,IL,6124,38.0,0.6,2.8,5.9,8.2,0.6,0.3,9.5,75.8,9.8,42300
Randolph,IL,33830,58.6,-0.2,1.5,5.4,7.4,9.3,0.2,10.9,64.2,8.3,33754
Richland,IL,16042,44.9,-0.7,0.8,6.1,8.8,0.3,0.6,12.9,73.5,11.9,31468
Rock Island,IL,148379,349.8,-0.7,8.6,6.4,7.6,7.5,1.0,13.6,77.4,15.0,37213
St. Clair,IL,256599,385.7,0.2,2.2,6.9,7.0,28.8,0.9,14.0,72.6,14.7,35439
Saline,IL,26325,69.8,-1.5,1.0,5.8,9.1,4.1,0.2,12.0,63.2,9.4,25876
Sangamon,IL,189379,217.7,0.2,1.1,6.4,6.8,9.7,1.1,13.0,81.8,22.4,40851
Schuyler,IL,7059,16.5,-1.8,0.5,5.8,9.5,0.2,0.1,10.8,69.4,10.7,30794
Scott,IL,5500,22.1,-0.7,0.2,6.3,8.2,,0.1,12.8,73.6,9.2,33609
Shelby,IL,22681,30.2,-0.9,0.5,5.8,8.9,0.2,0.2,11.6,72.7,9.8,34827
Stark,IL,6323,22.0,-0.1,0.9,6.3,8.7,0.1,0.2,12.3,77.0,10.8,35747
Stephenson,IL,48401,86.8,-1.2,1.5,6.1,8.0,7.7,0.7,12.3,76.7,13.6,38935
Tazewell,IL,128315,198.0,-0.1,1.0,6.2,8.0,0.9,0.5,12.2,78.6,13.6,42860
Union,IL,18263,44.0,-0.2,2.6,5.2,8.2,0.8,0.3,10.8,64.2,10.9,28982
Vermilion,IL,83300,93.3,-0.7,3.0,6.6,8.2,10.6,0.6,13.4,72.8,11.1,31903
Wabash,IL,12784,58.0,-1.2,0.7,5.7,8.4,0.4,0.4,8.9,74.9,12.6,32639
Warren,IL,18374,34.5,-1.9,2.7,5.6,8.0,1.6,0.3,12.2,76.3,14.5,31412
Washington,IL,15157,26.9,0.1,0.7,5.7,7.9,0.3,0.2,10.0,65.7,8.7,36681
Wayne,IL,17076,24.0,-0.4,0.6,6.0,9.2,0.2,0.3,11.6,63.1,8.7,30246
White,IL,15264,31.1,-0.7,0.7,5.1,9.7,0.3,0.2,10.4,66.2,9.5,29569
Whiteside,IL,60495,88.5,-0.3,8.8,6.4,8.1,1.0,0.4,12.8,73.3,9.9,37453
Will,IL,536416,600.1,6.8,8.7,8.4,4.5,10.5,2.2,15.6,80.4,18.0,54061
Williamson,IL,61794,144.9,0.8,1.2,6.0,8.1,2.5,0.5,11.4,71.8,14.2,31147
Winnebago,IL,279943,541.7,0.5,6.9,7.1,6.6,10.5,1.7,14.3,76.3,16.7,41004
Woodford,IL,35833,67.2,1.0,0.7,6.6,6.8,0.3,0.3,11.3,80.0,15.4,49396
Adams,IN,33441,99.2,-0.5,3.3,8.0,6.0,0.1,0.2,16.3,74.4,10.7,38587
Allen,IN,333628,505.1,0.5,4.2,7.7,5.9,11.3,1.4,16.1,81.2,19.0,42631
Bartholomew,IN,71573,175.5,0.2,2.2,7.4,6.6,1.8,1.9,14.5,76.9,16.9,43444
Benton,IN,9279,23.2,-1.5,2.6,6.6,7.3,0.2,0.1,15.5,77.1,9.2,36927
Blackford,IN,13852,85.1,-1.4,0.6,6.5,8.3,0.1,0.2,12.6,73.0,8.9,35048
Boone,IN,47408,109.0,2.8,1.2,7.3,5.8,0.4,0.5,13.5,82.5,22.2,51856
Brown,IN,15124,47.9,1.1,0.9,5.3,7.6,0.2,0.2,7.6,76.4,15.2,42891
Carroll,IN,20257,54.2,0.5,2.9,6.8,7.2,0.2,0.1,12.8,76.2,10.0,40352
Cass,IN,40927,99.1,,7.1,7.0,7.3,1.3,0.5,14.7,75.9,9.0,35029
Clark,IN,97364,257.3,0.9,1.9,6.7,6.8,6.6,0.6,13.3,72.8,11.2,36729
Clay,IN,26602,74.2,0.2,0.6,6.6,7.6,0.3,0.1,12.7,75.9,9.8,32919
Clinton,IN,33749,83.6,-0.3,7.3,7.1,6.9,0.3,0.2,13.6,76.2,11.0,38044
Crawford,IN,10920,35.1,1.6,0.9,6.3,7.2,0.2,0.1,11.3,59.6,5.7,28679
Daviess,IN,29652,69.2,-0.6,2.1,7.6,7.2,0.4,0.2,14.5,66.2,7.6,31238
Dearborn,IN,46806,151.2,1.5,0.6,6.8,6.3,0.6,0.3,13.6,73.5,10.7,43559
Decatur,IN,24493,65.8,-0.3,0.5,7.5,7.0,,0.7,15.0,72.3,9.7,39954
De Kalb,IN,40398,111.0,0.3,1.7,7.6,5.9,0.3,0.3,14.5,77.5,9.9,42612
Delaware,IN,118531,302.2,-0.2,1.1,5.9,7.1,6.7,0.7,12.1,74.5,16.5,34155
Dubois,IN,39805,92.3,0.3,2.8,7.2,6.7,0.1,0.2,14.4,72.2,10.9,44242
Elkhart,IN,184186,393.9,0.8,8.9,8.1,5.6,5.2,0.9,17.1,72.8,14.2,40332
Fayette,IN,25306,119.0,-1.1,0.5,6.4,8.1,1.7,0.3,14.3,63.9,8.1,34737
Floyd,IN,71348,478.5,0.7,1.1,6.5,6.5,4.4,0.5,12.6,73.2,15.1,38808
Fountain,IN,17815,45.3,-0.8,1.1,6.6,8.2,0.1,0.2,12.8,73.0,7.6,34593
Franklin,IN,22284,57.4,0.6,0.5,7.0,6.8,,0.2,11.4,65.3,8.2,39604
Fulton,IN,20664,55.6,0.7,2.3,6.6,8.0,0.8,0.4,14.3,75.3,9.4,35666
Gibson,IN,32716,66.5,0.7,0.7,6.4,8.0,1.9,0.5,11.9,72.8,9.1,35762
Grant,IN,72605,177.3,-1.1,2.4,5.9,8.0,7.2,0.6,11.8,71.8,11.2,34274
Greene,IN,33171,61.2,,0.8,6.2,7.8,0.1,0.2,11.3,71.6,9.9,32293
Hamilton,IN,197477,459.1,8.1,1.6,9.1,4.2,1.5,2.4,15.7,88.7,36.2,68017
Hancock,IN,57160,181.0,3.2,0.9,6.8,6.4,0.1,0.4,13.5,80.1,14.9,52055
Harrison,IN,34929,70.8,1.8,1.0,6.5,6.5,0.4,0.2,11.3,71.1,8.4,38204
Hendricks,IN,110784,255.1,6.4,1.1,7.3,5.4,1.1,0.7,13.2,84.1,18.2,55548
Henry,IN,48408,123.4,-0.2,0.8,6.2,8.3,0.9,0.2,11.9,71.4,9.2,35458
Howard,IN,84944,290.0,,2.0,7.0,7.3,6.5,1.0,14.2,78.5,14.3,43491
Huntington,IN,38024,99.4,-0.1,1.0,6.7,6.6,0.2,0.3,13.3,78.6,11.8,39793
Jackson,IN,41258,81.2,-0.2,2.7,7.0,7.0,0.5,0.8,15.1,69.3,8.7,35440
Jasper,IN,30551,53.6,1.7,2.4,6.9,6.8,0.3,0.2,12.6,75.5,10.8,40978
Jay,IN,21769,56.8,-0.2,1.8,7.3,7.5,0.3,0.3,15.9,68.9,8.2,32147
Jefferson,IN,32051,87.8,1.1,1.0,6.2,7.1,1.5,0.6,12.4,70.3,13.3,33630
Jennings,IN,28097,73.1,2.0,0.7,7.5,6.1,0.7,0.3,15.1,64.1,6.5,32121
Johnson,IN,119240,360.0,3.5,1.4,7.5,5.7,0.8,0.8,13.6,80.4,16.7,48879
Knox,IN,38822,76.1,-1.1,0.8,5.9,7.6,1.9,0.5,11.1,74.5,11.1,30709
Kosciusko,IN,74605,137.7,0.7,5.0,7.5,6.2,0.6,0.6,16.2,77.5,14.4,41989
Lagrange,IN,35309,91.9,1.1,3.1,9.8,5.7,0.2,0.3,20.5,56.7,7.3,38566
Lake,IN,485448,975.0,0.2,12.2,7.1,7.0,25.3,0.8,14.4,73.5,12.8,38205
La Porte,IN,110585,184.1,0.4,3.1,6.5,7.1,10.1,0.5,13.6,73.9,11.7,38753
Lawrence,IN,46020,102.3,0.2,0.9,6.5,8.1,0.4,0.3,13.5,69.7,9.4,35933
Madison,IN,132352,295.0,-0.8,1.5,6.4,7.8,7.9,0.4,12.9,73.5,11.7,36035
Marion,IN,856938,2173.0,-0.4,3.9,7.4,5.8,24.2,1.4,17.0,76.8,21.4,37686
Marshall,IN,45796,101.6,1.5,5.9,7.3,6.9,0.3,0.3,15.5,74.0,12.3,39179
Martin,IN,10383,30.9,0.1,0.4,6.3,7.8,0.2,0.1,15.0,64.4,8.6,33765
Miami,IN,36269,96.0,0.5,1.3,6.4,7.0,3.0,0.3,14.0,76.4,9.7,34795
Monroe,IN,119880,306.0,-0.6,1.9,5.1,4.9,3.0,3.4,10.9,82.1,32.9,35366
Montgomery,IN,37840,74.5,0.6,1.6,6.7,7.2,0.8,0.4,14.0,80.0,12.8,38831
Morgan,IN,67513,164.3,1.2,0.7,7.2,6.2,0.1,0.2,13.9,73.6,10.0,44120
Newton,IN,14436,36.2,-0.9,2.9,6.2,6.8,0.2,0.2,11.0,72.4,8.1,36875
Noble,IN,46926,112.6,1.4,7.1,8.0,5.8,0.4,0.4,16.9,72.1,8.0,40449
Ohio,IN,5726,64.6,1.8,0.4,5.9,7.6,0.5,0.1,10.1,67.7,6.0,38937
Orange,IN,19442,48.3,0.7,0.6,6.7,7.9,0.6,0.2,12.7,64.9,6.0,29491
Owen,IN,22115,56.6,1.5,0.8,6.3,7.6,0.3,0.2,12.3,66.3,7.1,32835
Parke,IN,17233,38.7,,0.6,5.5,8.1,2.1,0.2,10.7,76.7,10.1,33022
Perry,IN,18878,49.6,-0.1,0.7,5.4,7.7,1.4,0.1,10.0,65.4,6.8,34365
Pike,IN,12928,38.2,0.7,0.6,6.1,8.1,0.1,0.1,11.6,65.5,8.5,32424
Porter,IN,148769,351.2,1.3,4.8,6.5,5.9,0.9,0.9,12.0,82.4,18.5,50493
Posey,IN,27067,66.2,,0.4,6.3,6.8,0.9,0.2,10.1,76.3,11.0,45011
Pulaski,IN,13988,31.7,1.7,1.4,6.1,7.8,0.9,0.2,12.0,71.9,8.9,35837
Putnam,IN,36331,75.0,0.9,1.1,6.1,7.0,2.9,0.5,12.1,76.1,11.3,37804
Randolph,IN,27364,60.5,-0.1,1.2,6.7,8.3,0.3,0.2,12.7,71.9,8.6,33264
Ripley,IN,26976,59.5,1.7,0.9,7.4,6.9,,0.4,14.9,68.8,9.8,36854
Rush,IN,17980,44.8,-1.5,0.5,6.8,7.7,0.6,0.5,13.8,73.6,8.7,35434
St. Joseph,IN,264779,581.1,-0.3,4.7,7.0,6.7,11.5,1.3,14.6,76.1,19.2,37482
Scott,IN,23247,120.8,1.3,1.0,7.4,6.3,,0.2,15.6,60.0,6.6,31306
Shelby,IN,43580,105.2,0.3,1.1,6.8,6.5,0.8,0.6,13.5,74.1,9.9,40915
Spencer,IN,20276,51.1,-0.6,1.5,6.3,7.2,0.6,0.2,13.9,71.9,9.2,38960
Starke,IN,21805,76.2,-7.4,2.2,6.5,7.8,0.2,0.2,11.7,59.9,6.0,29349
Steuben,IN,33404,107.5,0.6,2.1,6.6,6.6,0.4,0.4,14.2,79.0,12.5,39664
Sullivan,IN,21818,48.7,0.3,0.8,5.6,7.2,4.3,0.1,11.2,74.1,10.0,31067
Switzerland,IN,9374,41.0,3.4,0.9,6.3,7.2,0.2,0.1,11.9,65.8,5.6,31355
Tippecanoe,IN,149036,297.9,0.1,5.3,5.9,4.6,2.5,4.5,13.0,85.2,30.7,40042
Tipton,IN,16520,63.8,-0.3,1.2,6.1,7.1,0.1,0.3,10.9,77.0,9.8,43258
Union,IN,7313,45.4,-0.5,0.3,7.0,6.9,0.2,0.2,12.7,71.3,8.4,35644
Vanderburgh,IN,171268,731.6,-0.4,1.0,6.2,7.6,8.2,0.8,12.9,75.2,16.0,35327
Vermillion,IN,16581,65.3,-1.2,0.6,6.3,7.7,0.3,0.1,13.2,72.1,7.8,33002
Vigo,IN,104778,262.7,-1.0,1.2,6.1,6.9,6.0,1.2,12.8,76.0,18.1,32007
Wabash,IN,34704,84.6,-0.7,1.2,5.9,7.6,0.4,0.4,11.9,74.4,11.7,36878
Warren,IN,8614,23.1,2.3,0.4,6.0,7.5,0.1,0.2,11.7,71.6,9.4,36143
Warrick,IN,53080,136.4,1.3,0.6,6.6,5.8,1.0,0.6,13.0,80.1,16.2,47588
Washington,IN,27585,53.0,1.3,0.7,6.7,6.4,0.1,0.2,12.7,66.2,6.8,31668
Wayne,IN,70515,176.0,-0.8,1.4,6.2,8.2,5.1,0.5,11.9,71.2,11.3,33379
Wells,IN,27689,74.6,0.3,1.4,6.6,7.0,0.2,0.2,14.3,79.0,12.1,42291
White,IN,25165,50.0,-0.4,5.3,6.4,7.9,0.2,0.2,13.1,77.9,10.7,35583
Whitley,IN,31099,91.4,1.3,0.9,6.8,6.7,0.2,0.2,13.6,78.9,8.8,43494
Adair,IA,8069,14.5,-2.1,0.7,5.4,9.4,0.1,0.2,8.3,77.5,9.8,32245
Adams,IA,4395,10.6,-1.9,0.6,5.5,10.0,0.1,0.2,7.5,77.1,9.4,29334
Allamakee,IA,14426,22.9,-1.7,3.5,5.9,8.9,0.1,0.3,11.9,75.9,8.9,30475
Appanoose,IA,13594,27.7,-0.9,1.0,5.6,9.3,0.4,0.3,10.5,72.1,11.5,26547
Audubon,IA,6715,15.4,-1.7,0.5,5.8,11.0,0.1,0.2,12.0,71.7,9.8,31376
Benton,IA,25931,35.3,2.5,0.6,6.5,7.5,0.2,0.2,11.2,78.2,9.6,39886
Black Hawk,IA,126483,225.8,-1.2,1.8,6.1,6.8,8.0,1.0,13.1,80.4,17.3,35644
Boone,IA,26281,45.9,0.2,0.8,6.0,7.8,0.4,0.2,11.0,80.8,13.7,37774
Bremer,IA,23368,53.3,0.2,0.6,5.5,7.3,0.5,0.5,9.4,78.5,15.1,41445
Buchanan,IA,20913,36.9,-0.9,0.6,6.9,7.0,0.3,0.4,13.4,78.4,11.2,35939
Buena Vista,IA,20023,35.5,-1.9,12.5,5.9,7.9,0.4,4.3,13.2,82.1,15.2,35545
Butler,IA,15145,26.4,-1.0,0.6,5.5,9.1,0.1,0.2,10.2,71.8,9.4,35469
Calhoun,IA,10916,19.5,-1.8,0.9,5.1,9.8,0.7,0.2,8.5,78.9,11.6,32924
Carroll,IA,21128,37.6,-1.4,0.5,6.0,8.7,0.2,0.3,11.0,74.6,11.3,36859
Cass,IA,14559,26.0,-0.9,0.7,5.4,9.6,0.2,0.1,10.9,80.7,12.5,31513
Cedar,IA,18144,31.4,-0.2,0.9,6.1,7.6,0.2,0.3,11.0,79.3,12.8,40666
Cerro Gordo,IA,45638,81.8,-1.7,2.8,5.9,8.7,0.8,0.7,11.3,81.3,15.5,35631
Cherokee,IA,12885,22.6,-1.2,1.0,5.5,10.0,0.3,0.4,10.6,81.3,10.8,34690
Chickasaw,IA,13050,25.9,-0.3,0.6,5.7,8.6,0.1,0.3,11.7,75.2,9.9,36314
Clarke,IA,9143,21.2,0.1,4.0,6.4,8.2,0.1,0.4,10.1,77.6,8.8,30831
Clay,IA,17074,30.5,-1.7,1.1,6.1,8.5,0.2,0.8,11.2,84.8,14.5,37019
Clayton,IA,18539,24.0,-0.7,0.8,5.8,9.2,0.1,0.1,10.3,74.5,9.0,31594
Clinton,IA,49962,72.2,-0.4,1.3,6.4,7.7,1.9,0.6,12.6,77.4,12.9,35978
Crawford,IA,16908,23.7,-0.2,8.7,6.4,8.2,0.8,0.5,12.7,72.5,9.8,32555
Dallas,IA,42914,69.5,5.3,5.4,8.3,5.5,0.7,0.7,13.5,83.6,16.3,45825
Davis,IA,8628,17.0,1.0,0.7,7.1,8.4,0.2,0.2,14.1,71.9,10.5,30349
Decatur,IA,8645,16.3,-0.5,1.7,5.5,8.6,1.0,0.6,12.0,71.8,12.3,25535
Delaware,IA,18325,31.8,-0.4,0.7,6.4,7.5,0.1,0.1,11.3,78.3,11.0,36963
Des Moines,IA,41743,101.8,-1.4,1.7,6.3,7.9,3.6,0.6,13.1,78.9,12.7,37294
Dickinson,IA,16523,43.1,0.6,0.7,5.3,11.0,0.2,0.2,10.6,84.1,17.5,36739
Dubuque,IA,88856,146.6,-0.3,1.2,6.6,7.3,0.9,0.6,13.0,77.7,16.8,38998
Emmet,IA,10813,27.8,-1.9,4.3,5.5,8.6,0.2,0.3,10.9,78.3,11.0,32841
Fayette,IA,21822,30.1,-0.8,1.5,6.0,9.0,0.5,0.4,11.9,76.6,11.8,31301
Floyd,IA,16601,33.7,-1.8,1.3,6.2,8.6,0.2,0.4,12.7,79.0,12.2,32486
Franklin,IA,10599,18.4,-1.0,6.0,5.6,9.8,0.1,0.2,11.9,79.4,12.3,34741
Fremont,IA,7886,15.7,-1.5,2.2,5.6,9.3,,0.2,12.0,77.7,11.3,33074
Greene,IA,10169,18.3,-1.9,1.7,5.8,9.6,0.1,0.2,10.9,81.2,13.7,33384
Grundy,IA,12305,24.6,-0.5,0.6,5.4,8.8,0.1,0.3,10.4,79.5,12.3,40457
Guthrie,IA,11323,19.2,-0.3,1.1,5.5,10.0,0.1,0.1,11.1,78.0,9.9,33467
Hamilton,IA,16380,28.5,-0.4,1.4,6.4,8.7,0.2,1.5,13.1,79.5,12.8,37073
Hancock,IA,11858,21.2,-2.0,2.5,6.1,8.1,0.1,0.3,10.7,78.4,10.3,36048
Hardin,IA,18537,33.1,-1.5,2.4,5.7,9.0,0.6,0.3,10.2,78.5,12.4,34846
Harrison,IA,15626,22.5,-0.3,0.7,6.0,8.5,0.1,0.2,11.7,76.2,9.1,33746
Henry,IA,20309,46.9,-0.1,1.3,6.0,6.7,1.5,1.9,12.2,79.1,14.5,37047
Howard,IA,9856,21.0,-0.8,0.6,6.0,9.2,0.1,0.2,12.9,72.9,8.2,32052
Humboldt,IA,10292,23.9,-0.9,1.0,5.4,9.7,0.1,0.2,11.6,80.0,11.6,37018
Ida,IA,7651,18.1,-2.4,0.5,5.5,10.0,0.1,0.2,12.4,75.9,11.0,34459
Iowa,IA,15901,26.7,1.5,1.0,6.2,7.9,0.2,0.3,10.1,76.4,11.1,40002
Jackson,IA,20207,31.9,-0.4,0.6,5.9,8.7,0.1,0.1,12.1,72.2,10.0,32214
Jasper,IA,37296,51.0,0.2,1.0,6.2,8.2,0.8,0.4,12.2,77.6,12.7,41892
Jefferson,IA,16029,37.2,-0.9,1.8,5.4,6.3,0.6,1.7,9.4,82.3,26.5,34196
Johnson,IA,111230,180.8,0.2,2.5,5.8,3.9,2.9,4.1,12.5,90.6,44.0,41678
Jones,IA,20065,35.2,-0.8,1.1,5.6,8.0,1.8,0.2,10.3,78.7,10.6,34772
Keokuk,IA,11403,19.7,,0.5,5.9,9.1,0.1,0.2,11.0,76.8,9.4,31979
Kossuth,IA,16788,17.6,-2.2,0.8,5.4,9.6,0.1,0.3,10.1,79.1,11.8,34492
Lee,IA,37313,73.6,-1.9,2.4,6.0,8.0,2.8,0.4,11.5,77.5,10.7,34966
Linn,IA,193165,267.4,0.8,1.4,7.0,6.2,2.6,1.4,14.2,84.9,21.5,44748
Louisa,IA,12245,30.3,0.5,12.6,7.2,7.2,0.3,0.2,16.0,76.3,9.2,35652
Lucas,IA,9470,21.9,0.5,0.9,6.0,9.1,0.1,0.3,10.4,77.1,9.5,30683
Lyon,IA,11750,20.0,-0.1,0.4,6.7,9.1,0.1,0.2,11.6,70.4,10.2,35180
Madison,IA,14190,25.0,1.2,0.7,7.0,6.7,0.1,0.2,12.3,81.6,12.0,39187
Mahaska,IA,22123,39.1,-0.9,0.9,6.6,7.6,0.6,0.9,11.8,74.8,13.1,35589
Marion,IA,32610,57.9,1.7,0.8,6.3,7.3,0.4,1.0,10.7,73.7,12.9,41988
Marshall,IA,39438,68.7,0.3,9.0,6.5,8.0,0.9,0.8,12.2,81.8,15.8,37314
Mills,IA,14651,33.3,0.7,1.2,6.3,6.5,0.3,0.3,11.1,76.1,12.6,37113
Mitchell,IA,10842,23.2,-0.3,0.6,6.1,9.8,0.2,0.2,12.0,76.0,11.1,35524
Monona,IA,9882,14.5,-1.4,0.7,5.3,11.0,0.1,0.1,10.7,73.0,10.3,30266
Monroe,IA,7839,18.5,-2.2,0.5,6.4,9.1,0.2,0.4,11.8,75.6,8.0,29870
Montgomery,IA,11536,27.8,-2.0,1.3,6.1,9.4,0.1,0.2,9.5,80.0,12.8,32264
Muscatine,IA,41831,95.0,0.3,11.9,6.9,6.5,0.7,0.8,13.9,75.0,13.0,40800
O'Brien,IA,14954,26.4,-1.0,1.8,5.9,9.7,0.3,0.5,12.8,73.5,12.6,35048
Osceola,IA,6935,17.6,-1.0,1.8,5.9,9.0,0.1,0.2,11.6,72.1,10.0,34804
Page,IA,16682,31.7,-1.7,1.6,5.6,9.2,1.7,0.5,9.9,78.2,13.5,33729
Palo Alto,IA,10015,18.0,-1.3,0.8,5.4,10.0,0.1,0.3,12.2,76.9,12.8,32669
Plymouth,IA,24876,28.8,0.1,1.3,6.6,7.9,0.3,0.3,13.3,78.0,15.0,40109
Pocahontas,IA,8473,15.0,-2.2,0.9,4.9,9.7,0.2,0.2,8.7,80.1,12.8,34867
Polk,IA,379029,658.3,1.2,4.4,7.5,5.7,4.8,2.6,16.0,85.4,23.9,42975
Pottawattamie,IA,87854,91.9,0.2,3.3,6.6,7.4,0.8,0.5,13.9,77.1,11.0,35851
Poweshiek,IA,18899,32.2,0.4,1.2,5.5,8.1,0.5,1.1,10.1,81.6,16.2,38079
Ringgold,IA,5376,10.2,-1.7,0.2,5.9,11.0,0.1,0.2,12.5,78.0,10.3,27802
Sac,IA,11331,20.0,-1.7,1.0,5.6,10.0,0.3,0.1,11.0,77.3,12.7,32612
Scott,IA,158489,346.4,-0.1,4.1,6.9,6.1,6.1,1.6,13.8,81.4,21.9,40920
Shelby,IA,13182,22.3,0.1,0.7,5.9,9.5,0.1,0.3,10.7,79.0,12.8,34588
Sioux,IA,31596,41.1,,2.6,6.6,7.1,0.2,0.6,13.2,71.7,14.4,40895
Story,IA,79462,139.6,-0.6,1.5,5.2,4.7,1.8,5.1,11.3,91.0,38.4,40851
Tama,IA,18045,25.1,-0.3,3.8,6.9,8.8,0.3,0.2,14.0,75.8,11.2,34794
Taylor,IA,6880,13.0,-1.1,3.8,5.5,9.7,,0.3,11.1,75.0,8.7,27341
Union,IA,12240,29.0,-0.6,1.0,5.9,8.5,0.2,0.3,10.9,79.0,12.8,29928
Van Buren,IA,7768,16.1,-0.5,0.8,5.6,8.8,0.1,0.3,10.1,74.7,9.6,29383
Wapello,IA,35794,83.5,-0.7,2.2,5.9,8.7,0.9,0.6,11.8,74.2,11.0,29856
Warren,IA,41149,71.1,1.2,1.1,6.8,6.0,0.3,0.4,12.9,87.0,16.2,46404
Washington,IA,21010,36.3,1.6,2.7,6.7,7.8,0.3,0.2,12.2,76.9,11.7,36470
Wayne,IA,6639,12.8,-1.4,0.7,5.0,11.0,0.1,0.1,8.4,71.7,8.4,25699
Webster,IA,39806,56.3,-1.1,2.3,6.3,8.3,3.4,0.7,13.4,78.4,13.7,34353
Winnebago,IA,11565,29.3,-1.3,2.0,5.6,8.5,0.2,0.7,11.1,78.6,14.0,34048
Winneshiek,IA,21423,30.9,0.5,0.8,5.1,7.4,0.5,0.8,9.7,76.4,17.1,35955
Woodbury,IA,103033,119.0,-0.8,9.1,7.6,6.7,2.0,2.4,16.6,78.4,16.7,36357
Worth,IA,7810,19.8,-1.3,1.6,5.7,8.8,0.3,0.1,9.8,77.9,10.9,34024
Wright,IA,14110,24.7,-1.6,4.9,5.7,9.2,0.2,0.2,10.8,77.6,11.3,35533
Allen,KS,14193,28.6,-1.3,1.9,5.9,8.4,1.6,0.3,12.8,74.2,12.4,30171
Anderson,KS,8190,13.9,1.0,1.1,6.2,9.1,0.3,0.2,9.8,70.2,8.1,30776
Atchison,KS,16687,38.8,-0.5,1.9,6.4,7.9,5.3,0.3,12.4,77.5,13.3,32515
Barber,KS,5163,4.7,-2.7,2.0,5.0,10.0,0.4,0.1,10.6,79.4,12.9,30317
Barton,KS,27810,31.5,-1.4,8.3,6.4,8.8,1.1,0.2,12.9,78.0,13.6,33079
Bourbon,KS,15371,24.1,-0.1,1.3,6.1,8.5,3.1,0.4,12.3,73.9,14.0,28362
Brown,KS,10630,18.8,-0.9,2.3,6.4,8.4,1.6,0.2,11.9,78.4,12.5,30260
Butler,KS,60194,41.7,1.2,2.2,6.9,6.3,1.4,0.4,12.2,81.0,17.0,44998
Chase,KS,3033,3.9,0.1,1.7,6.0,8.8,1.0,0.1,19.2,77.9,13.6,29129
Chautauqua,KS,4270,6.8,-2.0,1.4,4.5,10.0,0.3,0.1,6.6,70.5,10.6,24358
Cherokee,KS,22333,38.5,-1.2,1.3,6.9,7.3,0.6,0.2,14.1,70.2,10.3,27729
Cheyenne,KS,3114,3.1,-1.6,2.6,4.7,13.0,0.1,0.3,9.7,74.2,13.3,29484
Clark,KS,2371,2.5,-0.8,4.0,6.1,9.6,0.3,0.1,9.9,83.5,17.5,33987
Clay,KS,8771,13.7,-0.6,0.8,5.4,9.3,0.6,0.1,9.0,77.8,13.3,33910
Cloud,KS,9985,14.3,-2.8,0.6,4.9,9.3,0.3,0.3,9.3,76.0,13.8,29851
Coffey,KS,8815,14.1,-0.6,1.5,5.9,7.1,0.2,0.3,12.0,76.9,13.5,34411
Comanche,KS,1961,2.5,-0.3,1.8,5.6,11.0,0.1,0.1,9.4,78.0,14.9,27139
Cowley,KS,35929,32.2,-1.0,3.6,6.4,7.7,2.7,1.5,12.5,76.9,14.9,33933
Crawford,KS,37927,64.5,-0.8,2.4,6.4,6.5,1.8,1.1,13.6,74.7,18.7,28442
Decatur,KS,3432,3.9,-1.2,1.0,4.5,13.0,0.5,0.1,8.8,78.5,13.6,28427
Dickinson,KS,19155,22.8,-1.0,2.3,5.7,9.1,0.6,0.3,10.5,79.7,11.9,33975
Doniphan,KS,8303,21.0,0.7,1.2,6.4,7.7,2.0,0.3,12.9,73.0,9.7,32077
Douglas,KS,100005,218.7,,3.3,5.6,4.1,4.2,3.1,10.7,88.8,38.4,37248
Edwards,KS,3325,5.5,-3.6,9.7,5.9,9.8,0.3,0.3,8.8,76.3,13.1,31082
Elk,KS,3189,5.0,-2.2,2.2,4.2,12.0,0.2,0.2,9.2,67.3,10.5,23604
Ellis,KS,27247,30.6,-0.9,2.4,5.8,7.1,0.7,0.8,12.6,80.6,23.4,33279
Ellsworth,KS,6488,9.1,-0.6,3.6,4.2,8.9,3.6,0.2,6.5,76.6,12.8,31314
Finney,KS,40082,31.1,-1.1,43.3,11.0,3.7,1.3,2.9,25.5,70.9,14.4,36823
Ford,KS,32314,29.5,-0.4,37.7,9.4,5.2,1.6,2.1,21.5,76.6,18.1,34434
Franklin,KS,24943,43.2,0.6,2.6,6.8,6.9,1.2,0.3,13.9,77.1,12.9,34879
Geary,KS,26799,72.6,-4.1,8.5,9.4,5.1,22.0,3.2,25.4,83.4,14.6,28857
Gove,KS,3008,2.9,-2.0,1.2,5.9,11.0,0.1,0.1,10.4,79.1,13.6,30725
