Metropolitan Statistical Area,Murder,Rape,Robbery,Assault,Burglary,Larceny,Car Theft
"Jonesboro, AR M.S.A.",4.1,42.0,50.2,297.1,1379.2,2022.7,83.1
"Joplin, MO M.S.A.",1.7,44.0,48.0,282.5,689.1,2754.1,267.6
"Kalamazoo-Portage, MI M.S.A.",4.3,64.0,81.0,266.9,763.1,2173.9,137.0
"Kansas City, MO-KS M.S.A.2",8.2,31.9,119.7,301.4,780.1,2352.5,343.5
"Kennewick-Pasco-Richland, WA M.S.A.",2.0,30.3,37.8,166.0,463.1,1781.9,153.7
"Killeen-Temple-Fort Hood, TX M.S.A.",4.4,42.0,98.4,271.4,997.8,2141.1,113.8
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",4.6,34.9,37.6,278.3,791.6,2283.2,138.8
"Kingston, NY M.S.A.",1.1,17.2,35.0,173.6,396.1,1460.2,60.1
"Knoxville, TN M.S.A.",5.0,28.7,126.4,306.0,987.3,2554.1,232.9
"Kokomo, IN M.S.A.",3.0,28.3,68.8,107.2,751.5,2291.9,65.7
"La Crosse, WI-MN M.S.A.3",2.2,,28.4,113.0,434.2,1772.6,86.8
"Lafayette, IN M.S.A.",1.0,26.1,32.2,136.2,504.7,1863.1,141.8
"Lafayette, LA M.S.A.",7.5,18.0,123.3,471.2,945.4,3052.9,168.7
"Lake Charles, LA M.S.A.",8.2,56.9,110.7,476.2,1631.8,2570.9,232.2
"Lakeland-Winter Haven, FL M.S.A.",5.1,21.7,89.3,289.7,974.8,2386.9,167.8
"Lancaster, PA M.S.A.",1.8,23.3,65.0,95.9,336.5,1485.1,62.3
"Lansing-East Lansing, MI M.S.A.",2.7,48.0,80.2,285.3,644.6,1796.4,106.2
"Laredo, TX M.S.A.",4.5,33.3,85.8,394.0,795.8,3676.3,384.7
"Las Cruces, NM M.S.A.",4.2,30.1,35.7,280.0,832.2,2019.5,166.8
"Las Vegas-Paradise, NV M.S.A.",6.7,39.8,240.6,476.3,900.3,1580.0,441.6
"Lawrence, KS M.S.A.",0.0,38.7,52.1,295.9,553.9,3141.2,147.9
"Lawton, OK M.S.A.",4.4,56.9,99.7,610.7,1648.4,3093.0,223.1
"Lebanon, PA M.S.A.",3.8,18.2,33.3,133.9,350.2,1248.7,56.0
"Lewiston, ID-WA M.S.A.",1.6,49.4,6.6,110.4,644.3,2554.0,133.5
"Lewiston-Auburn, ME M.S.A.",2.8,37.3,59.7,59.7,452.1,1896.9,55.0
"Lexington-Fayette, KY M.S.A.",4.6,25.6,145.2,258.8,814.0,2533.0,171.6
"Lima, OH M.S.A.",3.9,54.0,109.0,242.1,1131.3,2535.5,149.5
"Lincoln, NE M.S.A.",0.7,48.9,60.1,317.1,522.7,2968.6,121.5
"Little Rock-North Little Rock-Conway, AR M.S.A.",6.3,47.4,177.8,524.3,1410.5,3206.4,317.5
"Logan, UT-ID M.S.A.",0.0,23.6,3.9,36.2,170.6,917.3,34.6
"Longview, TX M.S.A.",9.6,45.8,81.4,336.3,861.0,2599.4,321.4
"Longview, WA M.S.A.",1.9,95.5,46.8,168.6,774.0,2448.7,266.1
"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",5.3,19.5,189.5,228.2,465.5,1428.3,383.2
"Los Angeles-Long Beach-Glendale, CA M.D.",6.3,21.0,221.8,259.9,498.3,1424.1,439.9
"Santa Ana-Anaheim-Irvine, CA M.D.",2.2,14.8,84.6,125.5,359.0,1441.9,199.4
"Louisville/Jefferson County, KY-IN M.S.A.",4.9,27.0,153.9,209.4,898.3,2394.0,227.1
"Lubbock, TX M.S.A.",3.6,47.7,121.7,635.3,1229.4,3494.7,212.9
"Lynchburg, VA M.S.A.",6.4,22.0,39.5,219.3,354.7,1561.6,89.1
"Macon, GA M.S.A.",12.0,25.3,155.6,291.6,1498.1,3352.3,483.7
"Madera-Chowchilla, CA M.S.A.",6.6,32.4,85.3,308.0,791.9,1010.7,390.0
"Madison, WI M.S.A.2",0.9,24.1,73.3,140.3,465.6,2054.0,102.4
"Manchester-Nashua, NH M.S.A.",0.7,33.2,56.3,128.2,463.8,1659.4,87.6
"Manhattan, KS M.S.A.",4.8,38.3,35.1,251.0,450.3,1582.0,41.4
"Mankato-North Mankato, MN M.S.A.3",3.2,,19.1,102.1,418.0,1990.1,76.6
"Mansfield, OH M.S.A.",3.2,38.0,76.8,59.8,1212.0,2833.7,101.8
"McAllen-Edinburg-Mission, TX M.S.A.",4.6,29.0,72.0,215.4,1015.7,3445.7,336.1
"Medford, OR M.S.A.2",1.5,37.2,31.3,194.7,408.7,2311.6,147.0
"Memphis, TN-MS-AR M.S.A.",8.6,46.1,278.1,673.6,1427.8,2808.2,388.8
